accession	sample_title	breed	scientific_name	sex	center_name
SAMN06282433	HOLPOL29	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282435	HOLPOL31	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282436	HOLPOL32	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06698977	CDM7		Bos taurus	male	Northwest A&F University
SAMN06698981	MG12M-1		Bos taurus	male	Northwest A&F University
SAMN06698982	MG14M-2		Bos taurus	male	Northwest A&F University
SAMN06698983	MG17M		Bos taurus	male	Northwest A&F University
SAMN06698984	MG35M		Bos taurus	male	Northwest A&F University
SAMN06698986	HSK25M		Bos taurus	male	Northwest A&F University
SAMN06698990	HSK8M		Bos taurus	male	Northwest A&F University
SAMN06699011	NY22-2-M		Bos taurus	male	Northwest A&F University
SAMN06699014	JX1M		Bos taurus	male	Northwest A&F University
SAMN06699017	JX6M		Bos taurus	male	Northwest A&F University
SAMN06699018	JX21		Bos taurus	male	Northwest A&F University
SAMN06699039	XZ1		Bos indicus	male	Northwest A&F University
SAMN06699044	GZWN7M		Bos indicus	male	Northwest A&F University
SAMN06699048	WN8M		Bos indicus	male	Northwest A&F University
SAMN06699050	WN10M		Bos indicus	male	Northwest A&F University
SAMN06699051	WN11M		Bos indicus	male	Northwest A&F University
SAMN06699055	AHWD2-M		Bos indicus	male	Northwest A&F University
SAMN06699065	JXJJ2		Bos indicus	male	Northwest A&F University
SAMN06699068	HN5M		Bos indicus	female	Northwest A&F University
SAMN06699069	HN12M		Bos indicus	female	Northwest A&F University
SAMN07622457	WS3		Bos taurus	male	Northwest A&F University
SAMN07622458	WS4		Bos taurus	male	Northwest A&F University
SAMN07622459	WS7		Bos taurus	male	Northwest A&F University
SAMN07622460	WS8		Bos taurus	male	Northwest A&F University
SAMN07622461	WS10		Bos taurus	male	Northwest A&F University
SAMN08166127	Model organism or animal sample from Bos taurus		Bos taurus	male	USDA-ARS
SAMN08166128	Model organism or animal sample from Bos taurus		Bos taurus	male	USDA-ARS
SAMN08166129	Model organism or animal sample from Bos taurus		Bos taurus	male	USDA-ARS
SAMN08166130	Model organism or animal sample from Bos taurus		Bos taurus	male	USDA-ARS
SAMN08166131	Model organism or animal sample from Bos taurus		Bos taurus	male	USDA-ARS
SAMN08166132	Model organism or animal sample from Bos taurus		Bos taurus	male	USDA-ARS
SAMN08166133	Model organism or animal sample from Bos taurus		Bos taurus	male	USDA-ARS
SAMN08166134	Model organism or animal sample from Bos taurus		Bos taurus	male	USDA-ARS
SAMN08166135	Model organism or animal sample from Bos taurus		Bos taurus	male	USDA-ARS
SAMN08225763	Model organism or animal sample from Bos indicus		Bos indicus	male	Anand Agricultural University
SAMN08242174	Indian_Zebu_1	Zebu	Bos indicus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMN08242175	Indian_Zebu_2	Zebu	Bos indicus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMN08242227	Mangshi_Zebu_5	Zebu	Bos indicus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMN08242230	Mangshi_Zebu_8	Zebu	Bos indicus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMN08473803	Model organism or animal sample from Bos indicus		Bos indicus	female	University of Adelaide
SAMN08473804	Model organism or animal sample from Bos taurus		Bos taurus	male	University of Adelaide
SAMN08724707	Model organism or animal sample from Bos taurus		Bos taurus	female	Theragen Etex Bio Institute
SAMN08724708	Model organism or animal sample from Bos taurus		Bos taurus	male	Theragen Etex Bio Institute
SAMN08724709	Model organism or animal sample from Bos taurus		Bos taurus	male	Theragen Etex Bio Institute
SAMN08810150	Model organism or animal sample from Bos taurus		Bos taurus	female	Livestock Improvement Corporation (LIC)
SAMN08810152	Model organism or animal sample from Bos taurus		Bos taurus	female	Livestock Improvement Corporation (LIC)
SAMN08810154	Model organism or animal sample from Bos taurus		Bos taurus	female	Livestock Improvement Corporation (LIC)
SAMN08810156	Model organism or animal sample from Bos taurus		Bos taurus	female	Livestock Improvement Corporation (LIC)
SAMN08810158	Model organism or animal sample from Bos taurus		Bos taurus	female	Livestock Improvement Corporation (LIC)
SAMN08810160	Model organism or animal sample from Bos taurus		Bos taurus	female	Livestock Improvement Corporation (LIC)
SAMN08810162	Model organism or animal sample from Bos taurus		Bos taurus	female	Livestock Improvement Corporation (LIC)
SAMN08810164	Model organism or animal sample from Bos taurus		Bos taurus	female	Livestock Improvement Corporation (LIC)
