pop1	pop2	pop3	est	se	z	p	n
Ankole	CX113E	Galloway	0.266268776699038	0.008699321487361	30.6079936332842	9.58093223512558e-206	19677
Ankole	CX113E	Gelbvieh	0.249986846778158	0.00709654948482301	35.2265347142003	7.84892113026733e-272	19891
Ankole	CX113E	Hanwoo	0.184725245189655	0.00694683861689342	26.5912676797238	8.56541511831484e-156	18467
Ankole	CX113E	Hereford	0.255574241366741	0.00737915124976468	34.6346392310214	7.60864079551658e-263	19891
Ankole	CX113E	Holstein	0.319402367183394	0.00789268539811097	40.4681488077352	0	19890
Ankole	CX113E	Holstein_x_Freisian	0.311480838336125	0.00777731986070351	40.0498942971273	0	19890
Ankole	CX113E	Holstein_x_Hereford	0.284720042406627	0.00763546269822349	37.2891668337102	2.45880289567037e-304	19886
Ankole	CX113E	Jersey	0.25449655613409	0.00807825146760482	31.5039160584026	7.67738136272188e-218	19865
Ankole	CX113E	Kangayam	-0.0181376659620133	0.0056441737393593	-3.21352013591138	0.00131118603934031	19714
Ankole	CX113E	Kuchinoshima	0.231497532312212	0.00907840854524343	25.4997922993346	1.98173149943399e-143	19328
Ankole	CX113E	La_Reina	0.21662083567405	0.0089154621931793	24.2972075906254	2.09818811887269e-130	18077
Ankole	CX113E	Limousin	0.256716434260185	0.00762713321832314	33.658312620456	2.35647453098788e-248	19882
Ankole	CX113E	Maine_Anjou	0.259820070853452	0.00763368811176434	34.0359819591059	6.54373877837133e-254	19887
Ankole	CX113E	Mishima	0.207210283825454	0.00822604573148674	25.189537061813	5.21601869801556e-140	19815
Ankole	CX113E	Nelore	-0.00817255573541666	0.00511379383851474	-1.59813946230384	0.110011942900725	19784
Ankole	CX113E	Nordic_Red_cattle	0.269044279408107	0.00839467445349756	32.0493999974011	2.23800493691235e-225	19844
Ankole	CX113E	Normande	0.264893808179166	0.00871514230960435	30.3946623897633	6.46165248354802e-203	19744
Ankole	CX113E	Ogaden	0.0162683378445753	0.00416807522742564	3.90308162806919	9.49756534363867e-05	19873
Ankole	CX113E	Piedmontese	0.243697682805121	0.0072356757172279	33.6800172269862	1.13399542549708e-248	19885
Ankole	CX113E	Piemontese	0.241815978321476	0.00761433753901971	31.7579798744525	2.46388225848615e-221	19870
Ankole	CX113E	Red_Angus	0.259307119371458	0.0074206421297202	34.9440270583747	1.59576001350876e-267	19884
Ankole	CX113E	Romagnola	0.213540240426402	0.00680922559674385	31.3604296689063	7.01291254503836e-216	19879
Ankole	CX113E	Salers	0.253975083040486	0.0085734040097854	29.6235990687721	7.42322125146266e-193	19330
Ankole	CX113E	Scottish_Highland	0.258930333527412	0.00805905646450405	32.1291127153489	1.72939005046562e-226	19876
Ankole	CX113E	Shorthorn	0.261369067045086	0.00885496424660345	29.5166710746846	1.75931758211232e-191	19773
Ankole	CX113E	Simmental	0.248201472351734	0.00725327795476603	34.2192142503852	1.25237406506845e-256	19891
Ankole	CX113E	Simmental_x_Holstein	0.282307436334981	0.00866965783656302	32.5626964358836	1.38436616480184e-232	19826
Ankole	CX113E	Tibetan	0.164579142858067	0.00707168671716898	23.2729685915659	8.32910413744431e-120	19741
Ankole	CX113E	Tuxer	0.250800245513627	0.00830207020212996	30.2093621720137	1.78461225256142e-200	19831
Ankole	CX113E	Tyrolean_Grey	0.247888817344758	0.0071111443954133	34.8592017769527	3.08863958666695e-266	19891
Ankole	CX113E	Vechur	-0.0027728397216485	0.00615167577806978	-0.450745426398031	0.652173038134253	19652
Ankole	CX113E	Western_Fincattle	0.256341002777357	0.0076146422290437	33.6642215178046	1.93110128879449e-248	19864
Ankole	CX113E	Yakutian_cattle	0.20385759764618	0.00686416562755776	29.6988168274593	7.9535505526725e-194	19861
Ankole	CX113E	Zebu	0.000930039995206086	0.00426620577020705	0.21800167298563	0.827427807921368	19880
Ankole	CX113F	Angus	0.276670141410546	0.0172215738153109	16.0653227386553	4.4653423890091e-58	2153
Ankole	CX113F	Aosta_Red_Pied	0.259345890858893	0.0172789837150326	15.0093254983083	6.37931047867652e-51	2151
Ankole	CX113F	Australian_Lowline	0.268744479977003	0.0218107318955519	12.3216626229682	6.92516301810631e-35	2147
Ankole	CX113F	Belgium_Blue	0.263408930580569	0.0198304839567563	13.2830308708035	2.9039762750658e-40	2145
Ankole	CX113F	Belted_Galloway	0.269205029547185	0.022717025036234	11.8503646105861	2.14256537910473e-32	2124
Ankole	CX113F	Blonde_d'Aquitaine	0.238581766869677	0.0205790717194086	11.5934173378999	4.45015874440209e-31	2100
Ankole	CX113F	Braunvieh	0.258163729058474	0.0161814606755505	15.9542907920883	2.65977888668549e-57	2153
Ankole	CX113F	Brown_Swiss	0.272731903608495	0.0175222965816636	15.5648491815792	1.26167167167105e-54	2153
Ankole	CX113F	CX1138	0.498136750734095	0.0498312267020219	9.99647778516121	1.57914044735826e-23	762
Ankole	CX113F	CX113E	0.175075540805345	0.127523585015359	1.37288753907176	0.169787310988143	64
Ankole	CX113F	Charolais	0.27031632422761	0.0159733945028283	16.922910417053	3.04979971863923e-64	2153
Ankole	CX113F	Chianina	0.221224028884058	0.0174397188828676	12.6850685134256	7.15512583501539e-37	2150
Ankole	CX113F	Devon	0.294734701660205	0.0214741824476315	13.7250720663739	7.18576495655228e-43	2136
Ankole	CX113F	Eastern_Finncattle	0.257998847364099	0.0168394394407748	15.3211066360905	5.52684566457494e-53	2151
Ankole	CX113F	Eringer	0.283027348658694	0.0179552737764764	15.7629091141731	5.59950050921974e-56	2151
Ankole	CX113F	Evolene	0.269399545406599	0.0183375892225654	14.6911102728318	7.34995572713168e-49	2152
Ankole	CX113F	Fleckvieh	0.286216973304856	0.0175880374409293	16.2733889023228	1.52480061331985e-59	2153
Ankole	CX113F	Galloway	0.277408692993927	0.0207503096413423	13.3688941412819	9.18969340565963e-41	2124
Ankole	CX113F	Gelbvieh	0.263104782685085	0.0165364075837424	15.9106372622161	5.34664909152358e-57	2153
Ankole	CX113F	Hanwoo	0.193321911175179	0.0167170713881371	11.5643408278059	6.24691784117409e-31	1996
Ankole	CX113F	Hereford	0.260674888014116	0.0168139562479816	15.5034831879861	3.28585015824823e-54	2153
Ankole	CX113F	Holstein	0.255995811227632	0.0171660547656848	14.9129089194898	2.71655034839414e-50	2153
Ankole	CX113F	Holstein_x_Freisian	0.261428272612067	0.0167291592097994	15.6271017170385	4.75965043465142e-55	2153
Ankole	CX113F	Holstein_x_Hereford	0.259296226492051	0.0174148321014628	14.8893899740941	3.86277781592484e-50	2153
Ankole	CX113F	Jersey	0.293958848651858	0.0188011772823161	15.6351298771247	4.19618444488877e-55	2149
Ankole	CX113F	Kangayam	0.00191863274281255	0.0165906198752445	0.115645633330158	0.907933395342846	2127
Ankole	CX113F	Kuchinoshima	0.208084951105033	0.0208188250326826	9.99503818195165	1.60225478313784e-23	2080
Ankole	CX113F	La_Reina	0.187452659568787	0.0208728337779628	8.98070006031939	2.6904936349977e-19	1950
Ankole	CX113F	Limousin	0.275021342348616	0.0175638447772741	15.6583792350788	2.91224615177117e-55	2149
Ankole	CX113F	Maine_Anjou	0.259391177300479	0.0168095917591841	15.4311408044016	1.01067796482941e-53	2153
Ankole	CX113F	Mishima	0.239882771866102	0.0202895363516135	11.8229794761685	2.96962125313803e-32	2149
Ankole	CX113F	Nelore	0.00426530998384944	0.0144592650778288	0.294988020545365	0.768003030961654	2137
Ankole	CX113F	Nordic_Red_cattle	0.255891942967592	0.0191183518702022	13.38462356509	7.43732155337056e-41	2150
Ankole	CX113F	Normande	0.244942502996204	0.0203220891957087	12.0530178092087	1.86976663069706e-33	2145
Ankole	CX113F	Ogaden	0.0343793838834187	0.0115978877521108	2.96427975664463	0.00303392332259002	2152
Ankole	CX113F	Piedmontese	0.263211241448166	0.0160534758972276	16.395903487395	2.04576380583092e-60	2153
Ankole	CX113F	Piemontese	0.273651569336535	0.0180731507972592	15.1413316032329	8.64454630499828e-52	2150
Ankole	CX113F	Red_Angus	0.277718259233811	0.0171386379712436	16.2042199444196	4.70823271557417e-59	2153
Ankole	CX113F	Romagnola	0.232107320657919	0.0171782071894369	13.5117313523058	1.33348085117292e-41	2151
Ankole	CX113F	Salers	0.281580790569625	0.021482353676909	13.1075390902018	2.98115586544089e-39	2078
Ankole	CX113F	Scottish_Highland	0.264810761734143	0.0184792034490765	14.3302043545268	1.41703021832987e-46	2153
Ankole	CX113F	Shorthorn	0.264152052097883	0.0221268535478466	11.938075674731	7.49368547784034e-33	2141
Ankole	CX113F	Simmental	0.276996416663445	0.0166639573717342	16.6224871130127	4.79034336192166e-62	2153
Ankole	CX113F	Simmental_x_Holstein	0.246205453303727	0.0191873594974949	12.8316485306835	1.09019496007969e-37	2149
Ankole	CX113F	Tibetan	0.1767352186943	0.0161495297064274	10.9436758783112	7.12511884245961e-28	2136
Ankole	CX113F	Tuxer	0.267657327434698	0.0202946695730152	13.1885531061116	1.02126565531314e-39	2150
Ankole	CX113F	Tyrolean_Grey	0.263794004265801	0.0157771423539947	16.7200116692241	9.37008777397536e-63	2153
Ankole	CX113F	Vechur	0.0319302926137727	0.0179807113877512	1.77580808262816	0.0757645550529222	2124
Ankole	CX113F	Western_Fincattle	0.255502166636761	0.0163913389469563	15.5876324358605	8.83476340770342e-55	2146
Ankole	CX113F	Yakutian_cattle	0.219624892551766	0.0164088862398615	13.3845094262547	7.44875505403759e-41	2150
Ankole	CX113F	Zebu	0.0186166595078612	0.0122584116819722	1.51868447486062	0.128841936304016	2151
